Page,Line,Ignore_issues,Issue_exits
359,12,"missing orange(3) at position 1 [43, 29]",no
359,12,"missing blue(6) at position 2 [44, 29]",no
359,15,"extra green(1) at position 20 [11, 14]",no
360,9,"extra green(1) at position 12 [19, 9]",no
361,1,"missing green(1) at position 19 [21, 15]",no
361,2,"extra green(1) at position 17 [13, 10]",no
362,1,"extra pink(1) at position 8 [13, 10]",no
364,7,"extra green(1) at position 15 [19, 13]",no
364,9,"extra pink(1) at position 10 [37, 23]",no
364,11,"extra green(1) at position 7 [13, 10]",no
366,15,"missing green(38) at position 1 [345, 11]",no
366,15,"missing orange(28) at position 5 [14, 10]",no
367,1,"missing orange(3) at position 1 [40, 28]",no
367,1,"missing blue(6) at position 2 [41, 28]",no
369,11,"extra pink(1) at position 11 [13, 40]",no
372,14,"extra green(1) at position 23 [19, 9]",no
374,5,"extra blue(1) at position 12 [23, 22]",no
376,6,"extra green(1) at position 5 [14, 17]",no
376,15,"missing green(38) at position 1 [345, 11]",no
376,15,"missing orange(28) at position 5 [14, 10]",no
377,1,"missing orange(3) at position 1 [44, 28]",no
377,1,"missing blue(6) at position 2 [43, 28]",no
377,5,"extra pink(1) at position 4 [8, 15]",no
377,14,"extra green(1) at position 23 [6, 12]",no
379,1,"extra green(1) at position 13 [13, 10]",no
379,13,"extra blue(1) at position 20 [14, 8]",no
385,8,"missing green(35) at position 1 [346, 12]",no
385,8,"missing orange(28) at position 5 [15, 10]",no
385,9,"missing orange(3) at position 1 [43, 28]",no
385,9,"missing blue(6) at position 2 [44, 28]",no
387,6,"extra green(1) at position 23 [12, 10]",no
396,8,"missing green(38) at position 1 [345, 11]",no
396,8,"missing orange(28) at position 5 [14, 10]",no
396,9,"missing orange(3) at position 1 [44, 28]",no
396,9,"missing blue(6) at position 2 [43, 28]",no
398,10,"missing blue(1) at position 26 [14, 13]",no
399,7,"extra green(1) at position 19 [20, 9]",no
401,6,"missing blue(1) at position 4 [37, 33]",no
403,12,"extra blue(1) at position 31 [19, 9]",no
404,10,"missing green(38) at position 1 [345, 12]",no
404,10,"missing orange(28) at position 5 [14, 10]",no
404,11,"missing orange(3) at position 1 [44, 29]",no
404,11,"missing blue(6) at position 2 [43, 28]",no
408,9,"extra pink(1) at position 8 [22, 19]",no
411,1,"missing green(38) at position 1 [345, 11]",no
411,1,"missing orange(28) at position 5 [11, 8]",no
411,2,"missing orange(3) at position 1 [44, 28]",no
411,2,"missing blue(6) at position 2 [43, 28]",no
414,15,"missing green(38) at position 1 [345, 11]",no
414,15,"missing orange(28) at position 5 [11, 8]",no
415,1,"missing orange(3) at position 1 [43, 28]",no
415,1,"missing blue(6) at position 2 [43, 28]",no
417,11,"extra green(1) at position 11 [13, 9]",no
417,15,"missing green(38) at position 1 [344, 11]",no
417,15,"missing orange(28) at position 5 [14, 10]",no
418,1,"missing orange(3) at position 1 [44, 29]",no
418,1,"missing blue(6) at position 2 [43, 29]",no
418,3,"extra pink(1) at position 3 [20, 9]",no
418,14,"extra pink(1) at position 11 [19, 9]",no
420,11,"missing green(1) at position 4 [5, 14]",no
421,1,"extra green(1) at position 18 [14, 10]",no
424,1,"extra pink(1) at position 2 [70, 34]",no
425,12,"extra green(1) at position 26 [20, 9]",no
427,7,"extra pink(1) at position 2 [13, 10]",no
428,1,"missing green(38) at position 1 [345, 11]",no
428,1,"missing orange(28) at position 5 [11, 8]",no
428,2,"missing orange(3) at position 1 [43, 28]",no
428,2,"missing blue(6) at position 2 [43, 28]",no
428,10,"extra green(1) at position 14 [13, 10]",no
429,7,"extra green(1) at position 16 [13, 10]",no
430,1,"extra green(1) at position 16 [13, 10]",no
430,2,"extra green(1) at position 13 [13, 10]",no
430,4,"extra green(1) at position 25 [31, 12]",no
430,14,"extra green(1) at position 4 [15, 9]",no
431,1,"extra pink(1) at position 8 [7, 15]",no
433,1,"extra pink(1) at position 6 [26, 43]",no
433,13,"extra green(1) at position 15 [16, 19]",no
434,4,"extra green(1) at position 27 [20, 9]",no
434,6,"extra green(1) at position 8 [13, 10]",no
